# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun May 17 13:39:03 2026
#
# User preference: *
#
# CONSTRAINT:  where (discoverymethod like '%Transit%'
# CONSTRAINT:  and disc_year = 2026
# CONSTRAINT:  and soltype like '%confirmed%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
TIC 160113658 b,TIC 160113658,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,6.72952262077,,3.49015778,0.31137156,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,4817.31,0.789834,,,,4.585600,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h57m49.33s,59.4555606,-41d37m55.32s,-41.6320332,200.15600000,12.9570000,10.6540000,12.7393000,2026-04-23,2026-03,2026-04-23
TIC 161045582 b,TIC 161045582,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,8.85577189959,,2.24566738,0.20034537,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,5683.87,1.079760,,,,4.375500,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h54m30.20s,223.6258514,+49d05m51.81s,49.0977250,162.24600000,10.6420000,9.2180000,10.5887000,2026-04-23,2026-03,2026-04-23
TIC 178172313 b,TIC 178172313,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,4.37318161360,,2.80405322,0.25016130,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,5405.59,0.843450,,,,4.576900,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h53m37.50s,43.4062672,-32d04m37.37s,-32.0770480,178.13700000,11.9240000,10.0490000,11.7749000,2026-04-23,2026-03,2026-04-23
TIC 183374187 b,TIC 183374187,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ROTH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260418579R/abstract target=ref>Roth et al. 2026</a>,5.05907000000,,14.03364384,1.25200000,177.98390792,0.56000000,Mass,0.506000,,1379.00,0,<a refstr=ROTH_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260418579R/abstract target=ref>Roth et al. 2026</a>,,5768.00,1.344000,0.853000,-0.3900,[Fe/H],4.112000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h50m27.85s,357.6160382,-41d24m44.72s,-41.4124228,1208.75000000,14.6390000,13.1340000,14.5169000,2026-05-07,2026-04,2026-05-07
TIC 188624430 b,TIC 188624430,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,6.21860433132,,3.64811843,0.32546389,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,5369.46,0.786574,,,,4.559000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h14m13.61s,258.5566927,+53d42m21.67s,53.7060189,300.74300000,13.1950000,11.3060000,13.0202000,2026-04-23,2026-03,2026-04-23
TIC 18942729 b,TIC 18942729,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,0.99817838064,,2.00021315,0.17844737,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,4360.11,0.825257,,,,4.553600,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h56m51.62s,119.2150697,+16d40m38.04s,16.6772341,115.16900000,12.5450000,9.7810000,12.2782000,2026-04-23,2026-03,2026-04-23
TIC 198190129 b,TIC 198190129,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,7.94804910667,,2.92284949,0.26075962,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,4377.53,0.640675,,,,4.674200,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h25m19.75s,246.3322839,+60d22m37.71s,60.3771414,130.03500000,13.7040000,10.4640000,13.2525000,2026-04-23,2026-03,2026-04-23
TIC 206466666 b,TIC 206466666,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,9.10486865159,,2.14817673,0.19164782,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,4620.30,0.667193,,,,4.566100,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h47m04.68s,56.7694828,-52d22m00.30s,-52.3667509,127.83700000,12.4760000,9.9420000,12.1599000,2026-04-23,2026-03,2026-04-23
TIC 231949697 b,TIC 231949697,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,0.90720448719,,1.52831855,0.13634768,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,3451.32,0.492584,,,,4.244700,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h17m01.84s,94.2576817,-43d21m58.26s,-43.3661845,50.24080000,13.1880000,9.1950000,12.3686000,2026-04-23,2026-03,2026-04-23
TIC 245076932 b,TIC 245076932,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GAJDOS_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...708A.189G/abstract target=ref>Gajdo&scaron; et al. 2026</a>,21.61389000000,0.1570000000,10.87271128,0.97000000,162.09248757,0.51000000,Mass,0.428000,,845.00,0,<a refstr=GAJDOS_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...708A.189G/abstract target=ref>Gajdo&scaron; et al. 2026</a>,,6130.00,1.288000,1.117000,0.0200,[Fe/H],4.267000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h12m15.24s,198.0634857,-51d12m51.96s,-51.2144330,303.96000000,11.7270000,10.0830000,11.4654000,2026-04-30,2026-04,2026-04-30
TIC 24750448 b,TIC 24750448,1,1,2,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,3.59159193029,,2.43722231,0.21743479,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,4545.43,0.713599,,,,4.662400,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h44m47.01s,26.1958598,-68d38m41.12s,-68.6447552,178.14600000,13.5180000,10.7630000,13.2265000,2026-04-23,2026-03,2026-04-23
TIC 24750448 c,TIC 24750448,1,1,2,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,10.14385270726,,3.09028272,0.27569703,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,4545.43,0.713599,,,,4.662400,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h44m47.01s,26.1958598,-68d38m41.12s,-68.6447552,178.14600000,13.5180000,10.7630000,13.2265000,2026-04-23,2026-03,2026-04-23
TIC 249022743 b,TIC 249022743,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,2.25719681538,,4.79568155,0.42784279,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,5567.58,1.208400,,,,4.254700,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h14m18.29s,78.5762192,-03d26m47.80s,-3.4466123,396.46000000,12.7050000,10.9110000,12.5177000,2026-04-23,2026-03,2026-04-23
TIC 260969020 b,TIC 260969020,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,8.48584501953,,2.22686612,0.19866803,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,4572.94,0.689880,,,,4.594200,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h59m45.77s,74.9407148,-79d35m09.42s,-79.5859489,121.22200000,12.3930000,9.8470000,12.1220000,2026-04-23,2026-03,2026-04-23
TIC 270471727 b,TIC 270471727,1,1,1,Transit,2026,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,10.45623256647,,2.75029559,0.24536536,,,,,,,0,<a refstr=LAFARGA_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026MNRAS.tmp..514L/abstract target=ref>Lafarga et al. 2026</a>,,5271.39,0.997091,,,,4.460000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h28m50.74s,97.2114071,-78d28m23.01s,-78.4730589,182.10400000,11.9480000,10.0140000,11.7034000,2026-04-23,2026-03,2026-04-23
